日期,PPI
2011-01,104.30
2011-02,105.20
2011-03,105.80
2011-04,106.40
2011-05,106.70
2011-06,106.70
2011-07,106.70
2011-08,106.90
2011-09,106.90
2011-10,106.20
2011-11,105.50
2011-12,105.10
2012-01,105.00
2012-02,105.20
2012-03,105.50
2012-04,105.60
2012-05,105.30
2012-06,104.50
2012-07,103.70
2012-08,103.10
2012-09,103.10
2012-10,103.30
2012-11,103.10
2012-12,103.10
2013-01,103.30
2013-02,103.50
2013-03,103.40
2013-04,102.90
2013-05,102.20
2013-06,101.70
2013-07,101.30
2013-08,101.50
2013-09,101.70
2013-10,101.70
2013-11,101.70
2013-12,101.70
2014-01,101.60
2014-02,101.40
2014-03,101.10
2014-04,100.80
2014-05,100.80
2014-06,100.50
2014-07,100.40
2014-08,100.30
2014-09,99.90
2014-10,99.40
2014-11,98.90
2014-12,98.30
2015-01,97.20
2015-02,96.50
2015-03,96.50
2015-04,96.20
2015-05,96.10
2015-06,95.70
2015-07,95.10
2015-08,94.30
2015-09,93.90
2015-10,93.60
2015-11,93.10
2015-12,92.50
2016-01,97.00
2016-02,96.60
2016-03,97.20
2016-04,97.90
2016-05,98.30
2016-06,98.10
2016-07,98.40
2016-08,98.50
2016-09,99.00
2016-10,99.70
2016-11,101.20
2016-12,102.80
2017-01,103.60
2017-02,104.20
2017-03,104.60
2017-04,104.10
2017-05,103.80
2017-06,103.60
2017-07,103.70
2017-08,104.70
2017-09,105.80
2017-10,106.50
2017-11,107.00
2017-12,107.80
2018-01,108.10
2018-02,108.00
2018-03,107.80
2018-04,107.60
2018-05,108.10
2018-06,108.40
2018-07,108.50
2018-08,109.00
2018-09,109.60
2018-10,110.10
2018-11,109.80
2018-12,108.80
2019-01,108.20
2019-02,108.10
2019-03,108.20
2019-04,108.60
2019-05,108.80
2019-06,108.40
2019-07,108.20
2019-08,108.10
2019-09,108.20
2019-10,108.30
2019-11,108.30
2019-12,108.20
2020-01,108.20
2020-02,107.70
2020-03,106.60
2020-04,105.20
2020-05,104.80
2020-06,105.20
2020-07,105.60
2020-08,105.90
2020-09,106.00
2020-10,106.00
2020-11,106.60
2020-12,107.80
2021-01,102.30
2021-02,103.10
2021-03,104.70
2021-04,105.70
2021-05,107.40
2021-06,107.70
2021-07,108.30
2021-08,109.10
2021-09,110.30
2021-10,113.10
2021-11,113.10
2021-12,111.80